Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount
1,2023-01-01,CUST001,Male,25,Electronics,1,100,100
2,2023-01-02,CUST002,Female,30,Clothing,2,200,400
3,2023-01-03,CUST003,Male,45,Beauty,3,300,900
4,2023-01-04,CUST004,Female,35,Home,4,400,1600
5,2023-01-05,CUST005,Male,50,Books,5,500,2500
6,2023-01-06,CUST006,Female,25,Electronics,1,100,100
7,2023-01-07,CUST007,Male,30,Clothing,2,200,400
8,2023-01-08,CUST008,Female,45,Beauty,3,300,900
9,2023-01-09,CUST009,Male,35,Home,4,400,1600
10,2023-01-10,CUST010,Female,50,Books,5,500,2500
11,2023-01-11,CUST011,Male,25,Electronics,1,100,100
12,2023-01-12,CUST012,Female,30,Clothing,2,200,400
13,2023-01-13,CUST013,Male,45,Beauty,3,300,900
14,2023-01-14,CUST014,Female,35,Home,4,400,1600
15,2023-01-15,CUST015,Male,50,Books,5,500,2500
16,2023-01-16,CUST016,Female,25,Electronics,1,100,100
17,2023-01-17,CUST017,Male,30,Clothing,2,200,400
18,2023-01-18,CUST018,Female,45,Beauty,3,300,900
19,2023-01-19,CUST019,Male,35,Home,4,400,1600
20,2023-01-20,CUST020,Female,50,Books,5,500,2500
21,2023-01-21,CUST021,Male,25,Electronics,1,100,100
22,2023-01-22,CUST022,Female,30,Clothing,2,200,400
23,2023-01-23,CUST023,Male,45,Beauty,3,300,900
24,2023-01-24,CUST024,Female,35,Home,4,400,1600
25,2023-01-25,CUST025,Male,50,Books,5,500,2500
26,2023-01-26,CUST026,Female,25,Electronics,1,100,100
27,2023-01-27,CUST027,Male,30,Clothing,2,200,400
28,2023-01-28,CUST028,Female,45,Beauty,3,300,900
29,2023-01-29,CUST029,Male,35,Home,4,400,1600
30,2023-01-30,CUST030,Female,50,Books,5,500,2500
31,2023-01-31,CUST031,Male,25,Electronics,1,100,100
32,2023-02-01,CUST032,Female,30,Clothing,2,200,400
33,2023-02-02,CUST033,Male,45,Beauty,3,300,900
34,2023-02-03,CUST034,Female,35,Home,4,400,1600
35,2023-02-04,CUST035,Male,50,Books,5,500,2500
36,2023-02-05,CUST036,Female,25,Electronics,1,100,100
37,2023-02-06,CUST037,Male,30,Clothing,2,200,400
38,2023-02-07,CUST038,Female,45,Beauty,3,300,900
39,2023-02-08,CUST039,Male,35,Home,4,400,1600
40,2023-02-09,CUST040,Female,50,Books,5,500,2500
41,2023-02-10,CUST041,Male,25,Electronics,1,100,100
42,2023-02-11,CUST042,Female,30,Clothing,2,200,400
43,2023-02-12,CUST043,Male,45,Beauty,3,300,900
44,2023-02-13,CUST044,Female,35,Home,4,400,1600
45,2023-02-14,CUST045,Male,50,Books,5,500,2500
46,2023-02-15,CUST046,Female,25,Electronics,1,100,100
47,2023-02-16,CUST047,Male,30,Clothing,2,200,400
48,2023-02-17,CUST048,Female,45,Beauty,3,300,900
49,2023-02-18,CUST049,Male,35,Home,4,400,1600
50,2023-02-19,CUST050,Female,50,Books,5,500,2500
51,2023-02-20,CUST051,Male,25,Electronics,1,100,100
52,2023-02-21,CUST052,Female,30,Clothing,2,200,400
53,2023-02-22,CUST053,Male,45,Beauty,3,300,900
54,2023-02-23,CUST054,Female,35,Home,4,400,1600
55,2023-02-24,CUST055,Male,50,Books,5,500,2500
56,2023-02-25,CUST056,Female,25,Electronics,1,100,100
57,2023-02-26,CUST057,Male,30,Clothing,2,200,400
58,2023-02-27,CUST058,Female,45,Beauty,3,300,900
59,2023-02-28,CUST059,Male,35,Home,4,400,1600
60,2023-03-01,CUST060,Female,50,Books,5,500,2500
61,2023-03-02,CUST061,Male,25,Electronics,1,100,100
62,2023-03-03,CUST062,Female,30,Clothing,2,200,400
63,2023-03-04,CUST063,Male,45,Beauty,3,300,900
64,2023-03-05,CUST064,Female,35,Home,4,400,1600
65,2023-03-06,CUST065,Male,50,Books,5,500,2500
66,2023-03-07,CUST066,Female,25,Electronics,1,100,100
67,2023-03-08,CUST067,Male,30,Clothing,2,200,400
68,2023-03-09,CUST068,Female,45,Beauty,3,300,900
69,2023-03-10,CUST069,Male,35,Home,4,400,1600
70,2023-03-11,CUST070,Female,50,Books,5,500,2500
71,2023-03-12,CUST071,Male,25,Electronics,1,100,100
72,2023-03-13,CUST072,Female,30,Clothing,2,200,400
73,2023-03-14,CUST073,Male,45,Beauty,3,300,900
74,2023-03-15,CUST074,Female,35,Home,4,400,1600
75,2023-03-16,CUST075,Male,50,Books,5,500,2500
76,2023-03-17,CUST076,Female,25,Electronics,1,100,100
77,2023-03-18,CUST077,Male,30,Clothing,2,200,400
78,2023-03-19,CUST078,Female,45,Beauty,3,300,900
79,2023-03-20,CUST079,Male,35,Home,4,400,1600
80,2023-03-21,CUST080,Female,50,Books,5,500,2500
81,2023-03-22,CUST081,Male,25,Electronics,1,100,100
82,2023-03-23,CUST082,Female,30,Clothing,2,200,400
83,2023-03-24,CUST083,Male,45,Beauty,3,300,900
84,2023-03-25,CUST084,Female,35,Home,4,400,1600
85,2023-03-26,CUST085,Male,50,Books,5,500,2500
86,2023-03-27,CUST086,Female,25,Electronics,1,100,100
87,2023-03-28,CUST087,Male,30,Clothing,2,200,400
88,2023-03-29,CUST088,Female,45,Beauty,3,300,900
89,2023-03-30,CUST089,Male,35,Home,4,400,1600
90,2023-03-31,CUST090,Female,50,Books,5,500,2500
91,2023-04-01,CUST091,Male,25,Electronics,1,100,100
92,2023-04-02,CUST092,Female,30,Clothing,2,200,400
93,2023-04-03,CUST093,Male,45,Beauty,3,300,900
94,2023-04-04,CUST094,Female,35,Home,4,400,1600
95,2023-04-05,CUST095,Male,50,Books,5,500,2500
96,2023-04-06,CUST096,Female,25,Electronics,1,100,100
97,2023-04-07,CUST097,Male,30,Clothing,2,200,400
98,2023-04-08,CUST098,Female,45,Beauty,3,300,900
99,2023-04-09,CUST099,Male,35,Home,4,400,1600
100,2023-04-10,CUST100,Female,50,Books,5,500,2500
101,2023-04-11,CUST101,Male,25,Electronics,1,100,100
102,2023-04-12,CUST102,Female,30,Clothing,2,200,400
103,2023-04-13,CUST103,Male,45,Beauty,3,300,900
104,2023-04-14,CUST104,Female,35,Home,4,400,1600
105,2023-04-15,CUST105,Male,50,Books,5,500,2500
106,2023-04-16,CUST106,Female,25,Electronics,1,100,100
107,2023-04-17,CUST107,Male,30,Clothing,2,200,400
108,2023-04-18,CUST108,Female,45,Beauty,3,300,900
109,2023-04-19,CUST109,Male,35,Home,4,400,1600
110,2023-04-20,CUST110,Female,50,Books,5,500,2500
111,2023-04-21,CUST111,Male,25,Electronics,1,100,100
112,2023-04-22,CUST112,Female,30,Clothing,2,200,400
113,2023-04-23,CUST113,Male,45,Beauty,3,300,900
114,2023-04-24,CUST114,Female,35,Home,4,400,1600
115,2023-04-25,CUST115,Male,50,Books,5,500,2500
116,2023-04-26,CUST116,Female,25,Electronics,1,100,100
117,2023-04-27,CUST117,Male,30,Clothing,2,200,400
118,2023-04-28,CUST118,Female,45,Beauty,3,300,900
119,2023-04-29,CUST119,Male,35,Home,4,400,1600
120,2023-04-30,CUST120,Female,50,Books,5,500,2500
121,2023-05-01,CUST121,Male,25,Electronics,1,100,100
122,2023-05-02,CUST122,Female,30,Clothing,2,200,400
123,2023-05-03,CUST123,Male,45,Beauty,3,300,900
124,2023-05-04,CUST124,Female,35,Home,4,400,1600
125,2023-05-05,CUST125,Male,50,Books,5,500,2500
126,2023-05-06,CUST126,Female,25,Electronics,1,100,100
127,2023-05-07,CUST127,Male,30,Clothing,2,200,400
128,2023-05-08,CUST128,Female,45,Beauty,3,300,900
129,2023-05-09,CUST129,Male,35,Home,4,400,1600
130,2023-05-10,CUST130,Female,50,Books,5,500,2500
131,2023-05-11,CUST131,Male,25,Electronics,1,100,100
132,2023-05-12,CUST132,Female,30,Clothing,2,200,400
133,2023-05-13,CUST133,Male,45,Beauty,3,300,900
134,2023-05-14,CUST134,Female,35,Home,4,400,1600
135,2023-05-15,CUST135,Male,50,Books,5,500,2500
136,2023-05-16,CUST136,Female,25,Electronics,1,100,100
137,2023-05-17,CUST137,Male,30,Clothing,2,200,400
138,2023-05-18,CUST138,Female,45,Beauty,3,300,900
139,2023-05-19,CUST139,Male,35,Home,4,400,1600
140,2023-05-20,CUST140,Female,50,Books,5,500,2500
141,2023-05-21,CUST141,Male,25,Electronics,1,100,100
142,2023-05-22,CUST142,Female,30,Clothing,2,200,400
143,2023-05-23,CUST143,Male,45,Beauty,3,300,900
144,2023-05-24,CUST144,Female,35,Home,4,400,1600
145,2023-05-25,CUST145,Male,50,Books,5,500,2500
146,2023-05-26,CUST146,Female,25,Electronics,1,100,100
147,2023-05-27,CUST147,Male,30,Clothing,2,200,400
148,2023-05-28,CUST148,Female,45,Beauty,3,300,900
149,2023-05-29,CUST149,Male,35,Home,4,400,1600
150,2023-05-30,CUST150,Female,50,Books,5,500,2500
151,2023-05-31,CUST151,Male,25,Electronics,1,100,100
152,2023-06-01,CUST152,Female,30,Clothing,2,200,400
153,2023-06-02,CUST153,Male,45,Beauty,3,300,900
154,2023-06-03,CUST154,Female,35,Home,4,400,1600
155,2023-06-04,CUST155,Male,50,Books,5,500,2500
156,2023-06-05,CUST156,Female,25,Electronics,1,100,100
157,2023-06-06,CUST157,Male,30,Clothing,2,200,400
158,2023-06-07,CUST158,Female,45,Beauty,3,300,900
159,2023-06-08,CUST159,Male,35,Home,4,400,1600
160,2023-06-09,CUST160,Female,50,Books,5,500,2500
161,2023-06-10,CUST161,Male,25,Electronics,1,100,100
162,2023-06-11,CUST162,Female,30,Clothing,2,200,400
163,2023-06-12,CUST163,Male,45,Beauty,3,300,900
164,2023-06-13,CUST164,Female,35,Home,4,400,1600
165,2023-06-14,CUST165,Male,50,Books,5,500,2500
166,2023-06-15,CUST166,Female,25,Electronics,1,100,100
167,2023-06-16,CUST167,Male,30,Clothing,2,200,400
168,2023-06-17,CUST168,Female,45,Beauty,3,300,900
169,2023-06-18,CUST169,Male,35,Home,4,400,1600
170,2023-06-19,CUST170,Female,50,Books,5,500,2500
171,2023-06-20,CUST171,Male,25,Electronics,1,100,100
172,2023-06-21,CUST172,Female,30,Clothing,2,200,400
173,2023-06-22,CUST173,Male,45,Beauty,3,300,900
174,2023-06-23,CUST174,Female,35,Home,4,400,1600
175,2023-06-24,CUST175,Male,50,Books,5,500,2500
176,2023-06-25,CUST176,Female,25,Electronics,1,100,100
177,2023-06-26,CUST177,Male,30,Clothing,2,200,400
178,2023-06-27,CUST178,Female,45,Beauty,3,300,900
179,2023-06-28,CUST179,Male,35,Home,4,400,1600
180,2023-06-29,CUST180,Female,50,Books,5,500,2500
181,2023-06-30,CUST181,Male,25,Electronics,1,100,100
182,2023-07-01,CUST182,Female,30,Clothing,2,200,400
183,2023-07-02,CUST183,Male,45,Beauty,3,300,900
184,2023-07-03,CUST184,Female,35,Home,4,400,1600
185,2023-07-04,CUST185,Male,50,Books,5,500,2500
186,2023-07-05,CUST186,Female,25,Electronics,1,100,100
187,2023-07-06,CUST187,Male,30,Clothing,2,200,400
188,2023-07-07,CUST188,Female,45,Beauty,3,300,900
189,2023-07-08,CUST189,Male,35,Home,4,400,1600
190,2023-07-09,CUST190,Female,50,Books,5,500,2500
191,2023-07-10,CUST191,Male,25,Electronics,1,100,100
192,2023-07-11,CUST192,Female,30,Clothing,2,200,400
193,2023-07-12,CUST193,Male,45,Beauty,3,300,900
194,2023-07-13,CUST194,Female,35,Home,4,400,1600
195,2023-07-14,CUST195,Male,50,Books,5,500,2500
196,2023-07-15,CUST196,Female,25,Electronics,1,100,100
197,2023-07-16,CUST197,Male,30,Clothing,2,200,400
198,2023-07-17,CUST198,Female,45,Beauty,3,300,900
199,2023-07-18,CUST199,Male,35,Home,4,400,1600
200,2023-07-19,CUST200,Female,50,Books,5,500,2500
201,2023-07-20,CUST201,Male,25,Electronics,1,100,100
202,2023-07-21,CUST202,Female,30,Clothing,2,200,400
203,2023-07-22,CUST203,Male,45,Beauty,3,300,900
204,2023-07-23,CUST204,Female,35,Home,4,400,1600
205,2023-07-24,CUST205,Male,50,Books,5,500,2500
206,2023-07-25,CUST206,Female,25,Electronics,1,100,100
207,2023-07-26,CUST207,Male,30,Clothing,2,200,400
208,2023-07-27,CUST208,Female,45,Beauty,3,300,900
209,2023-07-28,CUST209,Male,35,Home,4,400,1600
210,2023-07-29,CUST210,Female,50,Books,5,500,2500
211,2023-07-30,CUST211,Male,25,Electronics,1,100,100
212,2023-07-31,CUST212,Female,30,Clothing,2,200,400
213,2023-08-01,CUST213,Male,45,Beauty,3,300,900
214,2023-08-02,CUST214,Female,35,Home,4,400,1600
215,2023-08-03,CUST215,Male,50,Books,5,500,2500
216,2023-08-04,CUST216,Female,25,Electronics,1,100,100
217,2023-08-05,CUST217,Male,30,Clothing,2,200,400
218,2023-08-06,CUST218,Female,45,Beauty,3,300,900
219,2023-08-07,CUST219,Male,35,Home,4,400,1600
220,2023-08-08,CUST220,Female,50,Books,5,500,2500
221,2023-08-09,CUST221,Male,25,Electronics,1,100,100
222,2023-08-10,CUST222,Female,30,Clothing,2,200,400
223,2023-08-11,CUST223,Male,45,Beauty,3,300,900
224,2023-08-12,CUST224,Female,35,Home,4,400,1600
225,2023-08-13,CUST225,Male,50,Books,5,500,2500
226,2023-08-14,CUST226,Female,25,Electronics,1,100,100
227,2023-08-15,CUST227,Male,30,Clothing,2,200,400
228,2023-08-16,CUST228,Female,45,Beauty,3,300,900
229,2023-08-17,CUST229,Male,35,Home,4,400,1600
230,2023-08-18,CUST230,Female,50,Books,5,500,2500
231,2023-08-19,CUST231,Male,25,Electronics,1,100,100
232,2023-08-20,CUST232,Female,30,Clothing,2,200,400
233,2023-08-21,CUST233,Male,45,Beauty,3,300,900
234,2023-08-22,CUST234,Female,35,Home,4,400,1600
235,2023-08-23,CUST235,Male,50,Books,5,500,2500
236,2023-08-24,CUST236,Female,25,Electronics,1,100,100
237,2023-08-25,CUST237,Male,30,Clothing,2,200,400
238,2023-08-26,CUST238,Female,45,Beauty,3,300,900
239,2023-08-27,CUST239,Male,35,Home,4,400,1600
240,2023-08-28,CUST240,Female,50,Books,5,500,2500
241,2023-08-29,CUST241,Male,25,Electronics,1,100,100
242,2023-08-30,CUST242,Female,30,Clothing,2,200,400
243,2023-08-31,CUST243,Male,45,Beauty,3,300,900
244,2023-09-01,CUST244,Female,35,Home,4,400,1600
245,2023-09-02,CUST245,Male,50,Books,5,500,2500
246,2023-09-03,CUST246,Female,25,Electronics,1,100,100
247,2023-09-04,CUST247,Male,30,Clothing,2,200,400
248,2023-09-05,CUST248,Female,45,Beauty,3,300,900
249,2023-09-06,CUST249,Male,35,Home,4,400,1600
250,2023-09-07,CUST250,Female,50,Books,5,500,2500
251,2023-09-08,CUST251,Male,25,Electronics,1,100,100
252,2023-09-09,CUST252,Female,30,Clothing,2,200,400
253,2023-09-10,CUST253,Male,45,Beauty,3,300,900
254,2023-09-11,CUST254,Female,35,Home,4,400,1600
255,2023-09-12,CUST255,Male,50,Books,5,500,2500
256,2023-09-13,CUST256,Female,25,Electronics,1,100,100
257,2023-09-14,CUST257,Male,30,Clothing,2,200,400
258,2023-09-15,CUST258,Female,45,Beauty,3,300,900
259,2023-09-16,CUST259,Male,35,Home,4,400,1600
260,2023-09-17,CUST260,Female,50,Books,5,500,2500
261,2023-09-18,CUST261,Male,25,Electronics,1,100,100
262,2023-09-19,CUST262,Female,30,Clothing,2,200,400
263,2023-09-20,CUST263,Male,45,Beauty,3,300,900
264,2023-09-21,CUST264,Female,35,Home,4,400,1600
265,2023-09-22,CUST265,Male,50,Books,5,500,2500
266,2023-09-23,CUST266,Female,25,Electronics,1,100,100
267,2023-09-24,CUST267,Male,30,Clothing,2,200,400
268,2023-09-25,CUST268,Female,45,Beauty,3,300,900
269,2023-09-26,CUST269,Male,35,Home,4,400,1600
270,2023-09-27,CUST270,Female,50,Books,5,500,2500
271,2023-09-28,CUST271,Male,25,Electronics,1,100,100
272,2023-09-29,CUST272,Female,30,Clothing,2,200,400
273,2023-09-30,CUST273,Male,45,Beauty,3,300,900
274,2023-10-01,CUST274,Female,35,Home,4,400,1600
275,2023-10-02,CUST275,Male,50,Books,5,500,2500
276,2023-10-03,CUST276,Female,25,Electronics,1,100,100
277,2023-10-04,CUST277,Male,30,Clothing,2,200,400
278,2023-10-05,CUST278,Female,45,Beauty,3,300,900
279,2023-10-06,CUST279,Male,35,Home,4,400,1600
280,2023-10-07,CUST280,Female,50,Books,5,500,2500
281,2023-10-08,CUST281,Male,25,Electronics,1,100,100
282,2023-10-09,CUST282,Female,30,Clothing,2,200,400
283,2023-10-10,CUST283,Male,45,Beauty,3,300,900
284,2023-10-11,CUST284,Female,35,Home,4,400,1600
285,2023-10-12,CUST285,Male,50,Books,5,500,2500
286,2023-10-13,CUST286,Female,25,Electronics,1,100,100
287,2023-10-14,CUST287,Male,30,Clothing,2,200,400
288,2023-10-15,CUST288,Female,45,Beauty,3,300,900
289,2023-10-16,CUST289,Male,35,Home,4,400,1600
290,2023-10-17,CUST290,Female,50,Books,5,500,2500
291,2023-10-18,CUST291,Male,25,Electronics,1,100,100
292,2023-10-19,CUST292,Female,30,Clothing,2,200,400
293,2023-10-20,CUST293,Male,45,Beauty,3,300,900
294,2023-10-21,CUST294,Female,35,Home,4,400,1600
295,2023-10-22,CUST295,Male,50,Books,5,500,2500
296,2023-10-23,CUST296,Female,25,Electronics,1,100,100
297,2023-10-24,CUST297,Male,30,Clothing,2,200,400
298,2023-10-25,CUST298,Female,45,Beauty,3,300,900
299,2023-10-26,CUST299,Male,35,Home,4,400,1600
300,2023-10-27,CUST300,Female,50,Books,5,500,2500
301,2023-10-28,CUST301,Male,25,Electronics,1,100,100
302,2023-10-29,CUST302,Female,30,Clothing,2,200,400
303,2023-10-30,CUST303,Male,45,Beauty,3,300,900
304,2023-10-31,CUST304,Female,35,Home,4,400,1600
305,2023-11-01,CUST305,Male,50,Books,5,500,2500
306,2023-11-02,CUST306,Female,25,Electronics,1,100,100
307,2023-11-03,CUST307,Male,30,Clothing,2,200,400
308,2023-11-04,CUST308,Female,45,Beauty,3,300,900
309,2023-11-05,CUST309,Male,35,Home,4,400,1600
310,2023-11-06,CUST310,Female,50,Books,5,500,2500
311,2023-11-07,CUST311,Male,25,Electronics,1,100,100
312,2023-11-08,CUST312,Female,30,Clothing,2,200,400
313,2023-11-09,CUST313,Male,45,Beauty,3,300,900
314,2023-11-10,CUST314,Female,35,Home,4,400,1600
315,2023-11-11,CUST315,Male,50,Books,5,500,2500
316,2023-11-12,CUST316,Female,25,Electronics,1,100,100
317,2023-11-13,CUST317,Male,30,Clothing,2,200,400
318,2023-11-14,CUST318,Female,45,Beauty,3,300,900
319,2023-11-15,CUST319,Male,35,Home,4,400,1600
320,2023-11-16,CUST320,Female,50,Books,5,500,2500
321,2023-11-17,CUST321,Male,25,Electronics,1,100,100
322,2023-11-18,CUST322,Female,30,Clothing,2,200,400
323,2023-11-19,CUST323,Male,45,Beauty,3,300,900
324,2023-11-20,CUST324,Female,35,Home,4,400,1600
325,2023-11-21,CUST325,Male,50,Books,5,500,2500
326,2023-11-22,CUST326,Female,25,Electronics,1,100,100
327,2023-11-23,CUST327,Male,30,Clothing,2,200,400
328,2023-11-24,CUST328,Female,45,Beauty,3,300,900
329,2023-11-25,CUST329,Male,35,Home,4,400,1600
330,2023-11-26,CUST330,Female,50,Books,5,500,2500
331,2023-11-27,CUST331,Male,25,Electronics,1,100,100
332,2023-11-28,CUST332,Female,30,Clothing,2,200,400
333,2023-11-29,CUST333,Male,45,Beauty,3,300,900
